date,P,T,E,Q,Qmm
07/10/1998,0.0,20.9,4.25,0.0,0.0
08/10/1998,0.0,21.7,4.63,0.0,0.0
09/10/1998,0.0,20.9,4.62,0.0,0.0
10/10/1998,0.0,21.4,4.89,0.0,0.0
11/10/1998,0.0,20.7,4.66,0.0,0.0
12/10/1998,0.0,19.7,4.4,0.0,0.0
13/10/1998,0.0,19.9,4.27,0.0,0.0
14/10/1998,12.3,17.9,2.36,0.0,0.0
15/10/1998,2.7,15.7,2.75,0.0,0.0
16/10/1998,0.2,13.0,2.2,0.0,0.0
17/10/1998,0.0,14.9,3.09,0.0,0.0
18/10/1998,0.0,16.2,3.24,0.0,0.0
19/10/1998,0.0,16.2,3.2,0.0,0.0
20/10/1998,0.0,16.3,3.18,0.0,0.0
21/10/1998,0.0,17.3,3.22,0.0,0.0
22/10/1998,0.0,17.2,3.27,0.0,0.0
23/10/1998,0.0,17.7,3.24,0.0,0.0
24/10/1998,0.0,16.2,3.34,0.0,0.0
25/10/1998,0.6,15.9,2.05,0.0,0.0
26/10/1998,0.3,16.6,1.87,0.0,0.0
27/10/1998,15.6,16.2,0.91,0.0,0.0
28/10/1998,2.2,11.4,1.18,0.0,0.0
29/10/1998,0.0,11.4,2.47,0.0,0.0
30/10/1998,0.0,13.9,2.66,0.0,0.0
31/10/1998,0.4,15.4,1.73,0.0,0.0
01/11/1998,0.1,14.8,1.47,0.0,0.0
02/11/1998,0.7,13.8,1.19,0.0,0.0
03/11/1998,0.0,14.5,1.78,0.0,0.0
04/11/1998,0.0,14.9,2.2,0.0,0.0
05/11/1998,0.0,15.3,2.37,0.0,0.0
06/11/1998,0.0,15.8,2.46,0.0,0.0
07/11/1998,0.0,16.2,2.72,0.0,0.0
08/11/1998,0.0,14.3,2.26,0.0,0.0
09/11/1998,0.0,11.4,1.92,0.0,0.0
10/11/1998,0.0,10.6,2.09,0.0,0.0
11/11/1998,0.0,11.5,2.21,0.0,0.0
12/11/1998,1.8,14.5,2.1,0.0,0.0
13/11/1998,15.7,13.3,0.89,0.0,0.0
14/11/1998,10.0,11.4,1.03,0.0,0.0
15/11/1998,2.0,12.1,1.27,0.0,0.0
16/11/1998,10.9,11.7,0.46,0.0,0.0
17/11/1998,2.4,11.4,1.36,0.0,0.0
18/11/1998,2.9,9.6,1.47,0.0,0.0
19/11/1998,0.0,6.8,1.62,0.0,0.0
20/11/1998,0.2,10.2,1.99,0.0,0.0
21/11/1998,0.8,13.1,1.04,0.0,0.0
22/11/1998,0.0,12.7,1.18,0.0,0.0
23/11/1998,11.3,14.9,1.87,0.0,0.0
24/11/1998,7.0,11.8,1.05,0.0,0.0
25/11/1998,0.1,10.6,1.29,0.0,0.0
26/11/1998,7.6,11.5,1.25,0.0,0.0
27/11/1998,10.4,12.5,0.88,0.0,0.0
28/11/1998,15.6,11.3,0.74,0.0,0.0
29/11/1998,7.7,8.9,0.35,0.0,0.0
30/11/1998,0.0,9.9,1.04,0.0,0.0
01/12/1998,0.0,9.7,1.21,0.0,0.0
02/12/1998,0.0,8.9,1.32,0.0,0.0
03/12/1998,0.0,7.9,1.21,0.0,0.0
04/12/1998,1.0,9.3,1.32,0.0,0.0
05/12/1998,16.6,13.2,0.45,0.0,0.0
06/12/1998,14.7,12.7,0.66,0.0,0.0
07/12/1998,6.7,9.3,0.82,0.0,0.0
08/12/1998,11.9,9.0,0.66,0.0,0.0
09/12/1998,19.2,6.6,0.19,0.0,0.0
10/12/1998,0.7,1.6,0.94,0.0,0.0
11/12/1998,1.3,3.6,0.72,0.0,0.0
12/12/1998,5.1,7.7,0.62,0.0,0.0
13/12/1998,0.0,7.9,0.7,0.0,0.0
14/12/1998,2.8,7.8,1.03,0.0,0.0
15/12/1998,3.7,7.7,0.52,0.0,0.0
16/12/1998,0.2,7.9,0.69,0.0,0.0
17/12/1998,3.6,7.2,0.84,0.0,0.0
18/12/1998,6.2,7.4,0.81,0.0,0.0
19/12/1998,16.0,5.9,0.18,0.0,0.0
20/12/1998,1.8,6.7,0.78,0.0,0.0
21/12/1998,0.4,7.3,0.64,0.0,0.0
22/12/1998,15.0,9.4,0.88,0.0,0.0
23/12/1998,3.4,7.7,0.64,0.0,0.0
24/12/1998,8.7,6.5,0.6,0.0,0.0
25/12/1998,0.5,4.3,0.92,0.0,0.0
26/12/1998,0.0,4.5,1.1,0.0,0.0
27/12/1998,0.0,5.7,0.89,0.0,0.0
28/12/1998,0.1,5.8,0.9,0.0,0.0
29/12/1998,0.0,6.1,1.05,0.0,0.0
30/12/1998,0.1,7.4,0.81,0.0,0.0
31/12/1998,0.0,6.2,1.02,0.0,0.0
01/01/1999,0.0,6.4,1.06,0.0,0.0
02/01/1999,0.1,8.1,0.85,0.0,0.0
03/01/1999,2.1,7.7,0.65,0.0,0.0
04/01/1999,7.0,8.9,0.54,0.0,0.0
05/01/1999,2.5,8.4,0.93,0.0,0.0
06/01/1999,0.0,7.6,1.1,0.0,0.0
07/01/1999,0.0,6.2,1.16,0.0,0.0
08/01/1999,0.0,6.2,1.21,0.0,0.0
09/01/1999,0.4,8.1,0.75,0.0,0.0
10/01/1999,0.6,10.1,0.54,0.0,0.0
11/01/1999,0.1,10.4,0.81,0.0,0.0
12/01/1999,0.0,10.1,0.9,0.0,0.0
13/01/1999,0.0,8.7,1.13,0.0,0.0
14/01/1999,3.8,8.9,0.98,0.0,0.0
15/01/1999,2.0,9.3,0.9,0.0,0.0
16/01/1999,3.1,6.6,0.69,0.0,0.0
17/01/1999,0.0,5.1,1.52,0.0,0.0
18/01/1999,0.1,3.5,1.66,0.0,0.0
19/01/1999,0.1,3.4,1.12,0.0,0.0
20/01/1999,0.0,5.2,1.39,0.0,0.0
21/01/1999,0.5,6.1,1.29,0.0,0.0
22/01/1999,9.9,6.2,0.39,0.0,0.0
23/01/1999,0.2,7.7,1.29,0.0,0.0
24/01/1999,0.0,5.6,1.33,0.0,0.0
25/01/1999,0.0,5.2,1.34,0.0,0.0
26/01/1999,2.5,4.7,0.81,0.0,0.0
27/01/1999,0.2,5.8,1.15,0.0,0.0
28/01/1999,8.4,8.1,0.87,0.0,0.0
29/01/1999,28.1,7.3,0.36,0.0,0.0
30/01/1999,32.8,8.0,0.42,0.0,0.0
31/01/1999,15.3,7.1,0.61,0.0,0.0
01/02/1999,1.0,9.4,1.8,0.0,0.0
02/02/1999,9.9,7.6,0.88,0.0,0.0
03/02/1999,0.1,4.8,1.43,0.0,0.0
04/02/1999,1.1,2.7,1.4,0.0,0.0
05/02/1999,1.1,2.7,1.44,0.0,0.0
